obsra,obsdec,z_helio,quality,specid
+18:44:21.23,-56:44:51.9,     +0.009323,          4,               86978
+10:34:08.68,-34:38:01.5,     +0.009317,          4,               50424
+10:23:02.82,-32:57:21.7,     +0.009317,          4,               50360
+19:11:30.48,-80:18:24.5,     +0.009315,          4,               88311
+22:40:56.90,-45:39:35.7,     +0.009315,          4,              135538
+10:25:28.84,-39:49:39.2,     +0.009314,          4,               49978
+09:36:05.83,-12:26:11.9,     +0.009312,          4,              118673
+14:05:09.47,-48:35:21.0,     +0.009311,          4,               71485
+17:40:00.99,-59:35:30.0,     +0.009309,          4,               84924
+10:30:00.66,-35:19:31.7,     +0.009308,          4,               50438
+09:49:24.61,-32:50:19.7,     +0.009307,          4,              119019
+22:31:18.24,-28:23:59.1,     +0.009306,          4,              107493
+18:50:54.87,-55:29:28.4,     +0.009299,          4,               87661
+20:05:25.03,-48:59:54.9,     +0.009299,          4,               91766
+20:16:48.21,-29:26:47.7,     +0.009298,          4,               93086
+10:28:31.95,-35:42:18.2,     +0.009294,          4,               50449
+11:35:14.92,-37:55:30.7,     +0.009283,          4,               55551
+20:34:20.55,-31:58:51.0,     +0.009281,          4,               95585
+08:27:34.07,-12:45:24.2,     +0.009274,          4,               41434
+14:28:23.32,-03:36:16.1,     +0.009274,          4,               73231
+13:24:14.94,-10:39:15.4,     +0.009273,          4,               67248
+06:45:19.36,-31:29:09.5,     +0.009273,          4,               37880
+09:58:53.07,-30:21:27.7,     +0.009272,          4,               48537
+11:10:36.38,-37:32:51.3,     +0.009270,          4,               53327
+08:56:07.96,-24:27:29.6,     +0.009266,          3,               42965
+09:50:13.97,-12:03:27.6,     +0.009265,          4,               46774
+07:05:43.64,-33:18:40.1,     +0.009264,          4,              126246
+09:43:08.65,-10:22:59.7,     +0.009264,          4,              118740
+10:28:25.77,-44:16:17.5,     +0.009261,          4,               49292
+14:17:48.95,-31:20:56.9,     +0.009259,          4,               73544
+09:38:20.46,-33:51:45.6,     +0.009257,          4,               45554
+12:24:34.37,-35:24:31.6,     +0.009256,          4,               58629
+10:00:06.35,-31:33:33.5,     +0.009255,          4,               48531
+06:26:39.26,-28:39:51.5,     +0.009255,          4,               37817
+08:57:11.46,-20:34:37.6,     +0.009254,          4,               43268
